Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
Max_DR,9.97 E-1,2.08 E-1,5.21 E0,9.97 E-1,2.09 E-1,3.58 E0,9.98 E-1,2.62 E-1,3.91 E0,9.97 E-1,2.62 E-1,7.24 E0,9.97 E-1,2.71 E-1,7.27 E0,9.98 E-1,2.62 E-1,3.91 E0,9.97 E-1,2.58 E-1,6.94 E0,9.96 E-1,1.70 E-1,6.24 E0,784,1.0
99%_DR,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,784,1.0
95%_DR,9.95 E-1,nan,nan,9.95 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,9.95 E-1,nan,nan,784,1.0
5%_DR,9.90 E-1,nan,nan,9.91 E-1,nan,nan,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.92 E-1,nan,nan,9.91 E-1,nan,nan,9.89 E-1,nan,nan,9.91 E-1,nan,nan,784,1.0
1%_DR,9.88 E-1,nan,nan,9.89 E-1,nan,nan,9.90 E-1,nan,nan,9.90 E-1,nan,nan,9.90 E-1,nan,nan,9.89 E-1,nan,nan,9.88 E-1,nan,nan,9.89 E-1,nan,nan,784,1.0
Min_DR,9.86 E-1,8.13 E-2,1.24 E+1,9.85 E-1,6.91 E-2,1.00 E+1,9.83 E-1,5.44 E-2,8.75 E0,9.86 E-1,7.38 E-2,1.05 E+1,9.81 E-1,6.52 E-2,1.29 E+1,9.81 E-1,6.52 E-2,1.29 E+1,9.81 E-1,2.60 E-2,1.75 E0,9.78 E-1,2.22 E-2,1.32 E0,784,1.0
Max_DR,9.97 E-1,2.13 E-1,5.11 E0,9.97 E-1,2.05 E-1,3.38 E0,9.98 E-1,2.67 E-1,3.69 E0,9.97 E-1,2.63 E-1,6.78 E0,9.97 E-1,2.66 E-1,6.90 E0,9.98 E-1,2.67 E-1,3.69 E0,9.97 E-1,2.60 E-1,6.61 E0,9.97 E-1,1.93 E-1,3.75 E0,814,1.0
99%_DR,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.97 E-1,nan,nan,9.97 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.97 E-1,nan,nan,814,1.0
95%_DR,9.95 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.96 E-1,nan,nan,9.95 E-1,nan,nan,9.96 E-1,nan,nan,814,1.0
5%_DR,9.90 E-1,nan,nan,9.91 E-1,nan,nan,9.91 E-1,nan,nan,9.92 E-1,nan,nan,9.92 E-1,nan,nan,9.91 E-1,nan,nan,9.89 E-1,nan,nan,9.91 E-1,nan,nan,814,1.0
1%_DR,9.87 E-1,nan,nan,9.88 E-1,nan,nan,9.89 E-1,nan,nan,9.91 E-1,nan,nan,9.90 E-1,nan,nan,9.89 E-1,nan,nan,9.88 E-1,nan,nan,9.88 E-1,nan,nan,814,1.0
Min_DR,9.85 E-1,7.61 E-2,1.18 E+1,9.85 E-1,6.43 E-2,9.53 E0,9.83 E-1,5.14 E-2,8.24 E0,9.85 E-1,6.90 E-2,1.02 E+1,9.81 E-1,5.99 E-2,1.20 E+1,9.81 E-1,5.99 E-2,1.20 E+1,9.82 E-1,2.81 E-2,1.68 E0,9.81 E-1,2.81 E-2,1.21 E0,814,1.0
Max_DR,9.97 E-1,2.28 E-1,4.86 E0,9.97 E-1,2.18 E-1,3.33 E0,9.98 E-1,2.78 E-1,3.73 E0,9.98 E-1,2.76 E-1,6.76 E0,9.98 E-1,2.78 E-1,6.71 E0,9.98 E-1,2.78 E-1,3.73 E0,9.98 E-1,2.68 E-1,1.96 E0,9.97 E-1,2.04 E-1,3.62 E0,827,1.0
