Quantile,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wavelength (nm),distance (cm)
99%_DR,0.005046840857596581,nan,nan,0.004964585475358041,nan,nan,0.004949983378177062,nan,nan,0.00480532682422059,nan,nan,0.004788445479018495,nan,nan,0.004946758766106171,nan,nan,0.005335372351104859,nan,nan,0.00498801271866082,nan,nan,754,1
95%_DR,0.004594590812915314,nan,nan,0.004711255492145785,nan,nan,0.004764403785888555,nan,nan,0.00426796219917779,nan,nan,0.004081894635304115,nan,nan,0.004589061614945775,nan,nan,0.005188023211465435,nan,nan,0.0042664033012429076,nan,nan,754,1
5%_DR,0.0022805606789269473,nan,nan,0.002437416225978278,nan,nan,0.002328697686402989,nan,nan,0.0018812190031828855,nan,nan,0.0016846421195307025,nan,nan,0.0020204403362951763,nan,nan,0.002184755253584425,nan,nan,0.002133682454683748,nan,nan,754,1
1%_DR,0.0019643866562943993,nan,nan,0.0019669202069868548,nan,nan,0.0018657168259663451,nan,nan,0.0014872401103145395,nan,nan,0.0014337632654658956,nan,nan,0.0015835904371433473,nan,nan,0.001933212332694231,nan,nan,0.001639947570842208,nan,nan,754,1
Min_DR,0.0015930827572319822,0.21025850000000001,9.612450500000001,0.0015981765434574914,0.22891966666666666,8.990593000000002,0.0012840107026537353,0.233688,10.348872,0.0009228105984037196,0.280529,11.106062333333334,0.0011300699929369874,0.23894066666666666,11.060572666666667,0.0009228105984037196,0.280529,11.106062333333334,0.0016550201058967034,0.230308,8.70794,0.001392251274256325,0.2269835,10.006248,754,1
Max_DR,0.005879749213615687,0.054211666666666665,4.048433,0.00568006561745774,0.06191,3.567010666666667,0.005733152445182113,0.059118500000000004,3.3860349999999997,0.005735873382283366,0.059818,3.597422,0.005316073112530233,0.07065133333333333,2.8276326666666667,0.005879749213615687,0.054211666666666665,4.048433,0.005891201180166332,0.0541295,3.920329,0.00571496501553008,0.059521,3.335506,784,1
99%_DR,0.0054008232170783465,nan,nan,0.005299104820817487,nan,nan,0.005395933041012913,nan,nan,0.005052435611883631,nan,nan,0.005106313876267338,nan,nan,0.005287172916805704,nan,nan,0.005737080602871156,nan,nan,0.005348153329139521,nan,nan,784,1
95%_DR,0.004980063052971793,nan,nan,0.005055136195659689,nan,nan,0.005085679344192033,nan,nan,0.004654124550801667,nan,nan,0.004482272721211887,nan,nan,0.004951188354769353,nan,nan,0.005537102812299253,nan,nan,0.004512980181813458,nan,nan,784,1
5%_DR,0.0026363911938543055,nan,nan,0.002785505809264338,nan,nan,0.002718711794004666,nan,nan,0.0022692847994406247,nan,nan,0.0020734819150861456,nan,nan,0.002390557076254997,nan,nan,0.002629335252760007,nan,nan,0.002326891407014267,nan,nan,784,1
1%_DR,0.0023101262055335173,nan,nan,0.0023814780771133606,nan,nan,0.002256515913354236,nan,nan,0.0018225827912566291,nan,nan,0.0017438129914618729,nan,nan,0.0019037145687526805,nan,nan,0.0022531264193871472,nan,nan,0.0018943991188892229,nan,nan,784,1
Min_DR,0.0018685091067041591,0.194885,8.986020666666667,0.001962870258497725,0.19909600000000002,8.486740666666668,0.001488725440819971,0.205829,10.251297,0.0013104269032975884,0.2682523333333333,9.172330333333333,0.0013835063923067555,0.20271666666666666,10.898140666666665,0.0013104269032975884,0.2682523333333333,9.172330333333333,0.0018908226483270356,0.197018,8.827195,0.0016982062442341618,0.171408,10.578375,784,1
Max_DR,0.005923025677143288,0.05313,3.78472,0.005716046306263011,0.05886266666666667,3.252951,0.005798297086939982,0.05575666666666667,3.2657473333333336,0.005403148089879881,0.06553875,2.7734942499999997,0.00544010840597399,0.06699250000000001,4.560638,0.005923025677143288,0.05313,3.78472,0.005934553699847991,0.05205066666666666,4.128588,0.005997703781651867,0.042713,2.850012,814,1
99%_DR,0.005422050798316103,nan,nan,0.005411104506432029,nan,nan,0.005461724801397576,nan,nan,0.005102883139903742,nan,nan,0.005126262992610209,nan,nan,0.005371473814232332,nan,nan,0.005854054225877128,nan,nan,0.0056208923088269394,nan,nan,814,1
95%_DR,0.005098735592255215,nan,nan,0.005194683235659147,nan,nan,0.00515807760657529,nan,nan,0.004747680497836548,nan,nan,0.004597606883943187,nan,nan,0.005059016285084332,nan,nan,0.00558534729470037,nan,nan,0.004659066274751087,nan,nan,814,1
5%_DR,0.0028442629321583494,nan,nan,0.0029847919448079204,nan,nan,0.002920005483071161,nan,nan,0.002453961685412655,nan,nan,0.002242924483870499,nan,nan,0.0025708608220153173,nan,nan,0.002669736912230927,nan,nan,0.0023900714324841875,nan,nan,814,1
1%_DR,0.0024656306768567155,nan,nan,0.0025532228301445832,nan,nan,0.002403370481551956,nan,nan,0.0019393476056023481,nan,nan,0.0019142996513032177,nan,nan,0.002062512268820181,nan,nan,0.0022734142104558343,nan,nan,0.0019568384640518558,nan,nan,814,1
