Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
5%_DR,0.0002686983663074654,,,0.00032777684526258784,,,0.0002769932424429684,,,0.00018605277484103755,,,0.00013835416888134867,,,0.00020391587760559715,,,0.0002639235262635985,,,0.00024527639723934217,,,686,1.5
1%_DR,0.0002101494148485295,,,0.0001999159187233279,,,0.00017565704349500902,,,0.00011363877347963777,,,8.774919163040287e-05,,,0.00011672175761390702,,,0.0002050807223860826,,,0.0001848685221306931,,,686,1.5
Min_DR,0.00014747763159020567,0.181521,12.497507,0.0001156147040739848,0.2527703333333333,10.865581,9.399493796635028e-05,0.240806,12.239002,5.345069711846956e-05,0.28298466666666666,13.317338333333332,6.503950688634515e-05,0.30426966666666666,11.732917,5.345069711846956e-05,0.28298466666666666,13.317338333333332,0.00015090620550213508,0.20253,11.453639,0.00013199585350629284,0.179786,13.1827355,686,1.5
Max_DR,0.0023655798198616903,0.04489,3.015598,0.0021131374952285367,0.067469,2.34931,0.0021960720203824165,0.058781,2.757163,0.002039805517511984,0.073663,2.1506605,0.0017817672671720688,0.07940349999999999,3.574494,0.0023655798198616903,0.04489,3.015598,0.002612129135890084,0.030444282771141102,2.1038896472568367,0.002622722473188774,0.02075495312407325,1.6905660131459481,701,1.5
99%_DR,0.0017566827866254187,,,0.0019805023743985103,,,0.0019270244725820623,,,0.0013916698990103446,,,0.0015835349862642922,,,0.0018856967729444832,,,0.002093362353072429,,,0.0018067219753052433,,,701,1.5
95%_DR,0.0014394021314109052,,,0.001743132384072183,,,0.001706511205466497,,,0.001066383147439043,,,0.0009923515517110371,,,0.0015285075132306588,,,0.0018486418666613799,,,0.001108728529239047,,,701,1.5
5%_DR,0.00033826740710325096,,,0.0003894980686931957,,,0.0003491485509267341,,,0.00024378495131356816,,,0.00018538593575165145,,,0.0002636533626909747,,,0.00031048644461697313,,,0.00029070805669942183,,,701,1.5
1%_DR,0.00026768227144299627,,,0.000269880732513685,,,0.0002423384260348647,,,0.00016201816148687966,,,0.00013842577299856898,,,0.00016617453527185643,,,0.00025637859676617573,,,0.00022720094233497778,,,701,1.5
Min_DR,0.00020644889004413233,0.16002,11.73369,0.000166176985337746,0.22292366666666666,10.238213666666667,0.0001225817032062883,0.216819,11.896488,7.709850015530938e-05,0.23948466666666668,13.251164666666666,9.232509632457543e-05,0.2683473333333333,11.350093666666666,7.709850015530938e-05,0.23948466666666668,13.251164666666666,0.00019746196718894388,0.178008,11.135972,0.00017735807961705838,0.178998667,11.64447167,701,1.5
Max_DR,0.002378640441959124,0.045179,2.894146,0.002154470392052434,0.064063,2.310986,0.0023181491561337793,0.05129,2.554608,0.0021306103894042057,0.064779,2.039317,0.0019106347919407949,0.0770525,3.104872,0.002378640441959124,0.045179,2.894146,0.002660063721469814,0.02657390811280643,2.032400356912489,0.00256682291766704,0.019620575985972312,1.5664698958476797,724,1.5
