Quantiles,pre,µa,µsp,post,µa,µsp,1 mo,µa,µsp,6 mo,µa,µsp,12 mo,µa,µsp,total,µa,µsp,IVH,µa,µsp,PBI,µa,µsp,wl (nm),dis (cm)
Min_DR,0.9870437323019792,0.073955,9.074505,0.9870798107891148,0.079981,10.254253,0.9846377706867219,0.063059,9.185596,0.9882153430813044,0.0890065,10.6151965,0.9827453460477681,0.073392,13.6291495,0.9827453460477681,0.073392,13.6291495,0.982213243006862,0.029431024302782806,1.8586468120284159,0.9792374534563572,0.024257699476898622,1.3193362415659247,754,1.0
Max_DR,0.9968746795573278,0.2079115,5.2087140000000005,0.9972248037172972,0.209403,3.57506,0.9978180378737297,0.2620746666666667,3.91323,0.9972757001421741,0.262321,7.2362253333333335,0.9973683803719328,0.270511,7.27477,0.9978180378737297,0.2620746666666667,3.91323,0.9972681573098583,0.2575305,6.940604,0.9957433965034296,0.169512833,6.241615,784,1.0
99%_DR,0.9958894321514155,,,0.9959812319158448,,,0.9962831684634026,,,0.996486549055781,,,0.9965995990951697,,,0.9963175346690023,,,0.9956052760370074,,,0.9954983649533917,,,784,1.0
95%_DR,0.9952677178150765,,,0.9954704650088598,,,0.9955133536721732,,,0.9958570520403129,,,0.9958385805792126,,,0.9956580011820929,,,0.9946326259513097,,,0.994832586194623,,,784,1.0
5%_DR,0.9903289945451158,,,0.9909448864882427,,,0.9913431631746835,,,0.9924615368156122,,,0.9922506125041344,,,0.991321231854687,,,0.9891610844803842,,,0.9907633572240075,,,784,1.0
1%_DR,0.9876284861366353,,,0.988771861518723,,,0.9897757718810823,,,0.9904530844231553,,,0.9900331361142221,,,0.989151149668461,,,0.9879501565726105,,,0.9891659377822544,,,784,1.0
Min_DR,0.9855569296209951,0.081274,12.38149,0.9851493481101472,0.069104,10.045231,0.9827960123122695,0.054415,8.750608,0.9856938295093448,0.073818,10.522319,0.9812200173799378,0.06519849999999999,12.8973945,0.9812200173799378,0.06519849999999999,12.8973945,0.9805413283815431,0.0260148126651441,1.7483217010501266,0.9779672303198597,0.022241131297500744,1.317128358621389,784,1.0
Max_DR,0.9969889121627821,0.213347,5.10551,0.9971981080096317,0.2054485,3.3813940000000002,0.9978987484080417,0.26718200000000003,3.686951666666667,0.9973660376788257,0.2631206666666667,6.7793133333333335,0.9973761716002401,0.265655,6.89535,0.9978987484080417,0.26718200000000003,3.686951666666667,0.9973573142408889,0.2599945,6.613405,0.9969243996771573,0.19345625,3.75137325,814,1.0
99%_DR,0.9960608032342042,,,0.9960901640181039,,,0.996404171435965,,,0.9966066521782125,,,0.9966235144528747,,,0.996444823964193,,,0.9957284588843663,,,0.9965592054856592,,,814,1.0
95%_DR,0.9954490379693234,,,0.9955460486015124,,,0.9955752681320054,,,0.9959878048421155,,,0.9959125128803537,,,0.9957313113458321,,,0.9948825011928931,,,0.9955196256554295,,,814,1.0
