Quantile,pre,post,1 mo,6 mo,12 mo,total,IVH,PBI,wavelength (nm),distance (cm)
95%_DR,9.920565132459258e-05,0.00017563204573494497,0.00015785165534243822,5.14732142244557e-05,4.80730223097667e-05,0.00011451544976601542,0.00016327215665327033,4.921736264119639e-05,724,1.5
5%_DR,4.85261847063159e-06,6.573077242600278e-06,5.01106029262809e-06,2.5835096827495146e-06,1.7635286150061622e-06,3.1909047792191646e-06,4.498822593411688e-06,4.301122367910981e-06,724,1.5
1%_DR,2.8779569386561893e-06,3.5646399498870177e-06,2.5165837130273434e-06,1.1695353910477593e-06,1.0460512117166015e-06,1.4862911688071174e-06,2.948701862501608e-06,2.3961093801109397e-06,724,1.5
Min_DR,1.8430322326184706e-06,9.501790160610958e-07,7.343415942052777e-07,3.5687008058154595e-07,5.320625442515993e-07,3.5687008058154595e-07,1.9587213469975504e-06,1.2545936350341989e-06,724,1.5
Max_DR,0.00026729518460015186,0.00040011501275219994,0.000308157049168331,0.00033061751413676274,0.0001616480418270737,0.00040011501275219994,0.0005107849578563785,0.0005999752010136195,754,1.5
99%_DR,0.00010589323721634738,0.00032281754377108375,0.00020525399255573427,0.00012656760873821924,0.00011428496258379877,0.00020160236778086406,0.00021000862348701237,9.566157473831571e-05,754,1.5
95%_DR,7.098351653314339e-05,0.0001558458734193103,0.00012799913803282882,5.012245371931452e-05,4.3280091441817564e-05,9.506195805590467e-05,0.00013891571549634512,3.87068857189568e-05,754,1.5
5%_DR,4.2752465184359405e-06,5.2817487177533115e-06,4.404621344656114e-06,2.213780787579539e-06,1.538733732995766e-06,2.7958812396677025e-06,3.7030893903904182e-06,3.4673484912905887e-06,754,1.5
1%_DR,2.568820976870232e-06,2.465597819901073e-06,2.0893529125210834e-06,9.728669640092452e-07,9.015885698786236e-07,1.2329826906635385e-06,2.5105476438451357e-06,1.5311949056286624e-06,754,1.5
Min_DR,1.263361660528464e-06,1.238483530993777e-06,6.320778820651951e-07,2.1665064001033437e-07,4.295880830018793e-07,2.1665064001033437e-07,1.380622600584794e-06,8.153415143348355e-07,754,1.5
Max_DR,0.00026571707067214636,0.0004434317859073192,0.0003863183097742978,0.00039023685155703644,0.00021016239540550558,0.0004434317859073192,0.0005505809389928156,0.0006167122663422069,784,1.5
99%_DR,0.00015424937887651753,0.0003830611935592398,0.00025771731930157793,0.00017124272962052418,0.00015991325002769755,0.00024696671987554296,0.0002837119316637794,0.00016759746422384392,784,1.5
95%_DR,0.0001014154805982953,0.00018860892399154958,0.00017346944148155033,7.225087055953061e-05,6.317187944299603e-05,0.00012748825588986074,0.00017594876690917198,5.3215006986764856e-05,784,1.5
5%_DR,6.741060885670474e-06,8.349314686132406e-06,7.77495130402437e-06,4.0346327895352966e-06,3.017076690619795e-06,4.927219988320466e-06,7.146546223252754e-06,4.534215801638988e-06,784,1.5
1%_DR,4.320494258923959e-06,4.689778108556764e-06,3.921139599773338e-06,1.936720094226462e-06,1.6999085738479862e-06,2.2692201933357593e-06,4.29720134329582e-06,2.502129085689088e-06,784,1.5
Min_DR,2.114305478088839e-06,2.4541876722429984e-06,1.0427897581235284e-06,6.367624114587707e-07,8.498579345315411e-07,6.367624114587707e-07,2.186573010130084e-06,1.688148395188457e-06,784,1.5
Max_DR,0.0003769099767480747,0.0004745711012885293,0.0004193540190572846,0.0003690797811657669,0.00024119543305711072,0.0004745711012885293,0.0005418212235421807,0.0005730992807910096,814,1.5
